SDD Version, SDDv1.0;
Software, TOPAS-nBio;
Author, NICE Team;
Simulation details, Neutron Irradiation of a cubic cell nucleus model;
Source, Secondary particles of photoneutrons from a LINAC;
Source type, 2;
Incident particles, 11;
Mean particle energy, ;
Energy distribution, URL: https://github.com/McGillMedPhys/topas_clustered_dna_damage/tree/master/spectra;
Particle fraction, 1.0;
Dose or fluence,  3;
Irradiation target, Full human cubic shape nuclear DNA model containing ~6.3 Gbp constructed using voxels;
Volumes, 1,7.816,7.816,7.816,0,0,0,1,3.901,3.901,3.901,0,0,0;
Chromosome sizes, 46, 263.2,258.1,212.4,203.4,192.2,181.8,168.8,155.5,149.4,144.0,142.9,140.8,121.3,113.0,106.9,94.7,83.5,81.0,68.0,66.6,50.0,52.6,263.2,258.1,212.4,203.4,192.2,181.8,168.8,155.5,149.4,144.0,142.9,140.8,121.3,113.0,106.9,94.7,83.5,81.0,68.0,66.6,50.0,52.6,61.6,165.2;
DNA Density, 13.3;
Cell Cycle Phase, 0,1;
DNA Structure, 0,1;
In vitro / in vivo, 0;
Proliferation status, 1;
Microenvironment, ;
Damage definition, 1,0,10,10,17.5;
Time 0;
Damage and primary count,  3477, 5583;
Data entries, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0;
Additional information, ;
***EndOfHeader***;
2, 0; -2.120727, 2.490181, 3.822755; 0, 40, 1, 1; 31431784; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 0; -2.124370, 2.487067, 3.822128; 0, 40, 1, 1; 31431800; 1, 0, 1; 0, 1, 0; 4, 1, 2;
1, 3; 3.672690, 3.670509, -0.095107 / 3.673230, 3.671325, -0.094307 / 3.672151, 3.669693, -0.095907; 0, 42, 1, 1; 58534526; 2, 1, 2; 0, 3, 0; 4, 1, 1/ 4, 5, 2/ 4, 7, 2;
1, 7; -1.116025, 2.610447, 3.632435; 0, 39, 1, 1; 77674128; 1, 0, 1; 0, 1, 0; 4, 1, 2;
1, 11; -2.003750, 0.523412, 3.364052; 0, 6, 1, 1; 86185135; 1, 0, 1; 0, 1, 0; 4, 1, 2;
0, 11; 0.528258, -0.366776, -0.775049; 0, 18, 1, 1; 68531433; 1, 0, 1; 0, 1, 0; 1, 1, 2;
0, 11; 0.529180, -0.369609, -0.773769; 0, 18, 1, 1; 68531646; 1, 0, 1; 0, 1, 0; 4, 1, 2;
1, 27; -1.102160, 1.441234, 0.963855; 0, 8, 1, 0; 30745510; 1, 0, 1; 0, 1, 0; 1, 1, 2;
1, 31; 1.837862, -2.810938, -3.475615; 0, 29, 1, 1; 106136000; 0, 1, 0; 0, 1, 0; 4, 1, 1;
0, 31; 2.777709, -2.638997, -1.984063; 0, 32, 1, 1; 72562264; 0, 1, 0; 0, 1, 0; 4, 1, 1;
